state;ev;ev_pct;group
California;1256600;3,41;Top 5
District of Columbia;8100;2,6;Top 5
Hawaii;25600;2,37;Top 5
Washington;152100;2,23;Top 5
Nevada;47400;1,85;Top 5
North Dakota;1000;0,13;Bottom 5
Mississippi;3600;0,13;Bottom 5
Wyoming;1100;0,17;Bottom 5
West Virginia;2800;0,19;Bottom 5
South Dakota;1700;0,19;Bottom 5
